Sample in Buffer,Sample in Window,TRIGGER,clk_IBUF_BUFG,valid_in,in_x_flat[1023:0],en,valid_out,prob_flat[1023:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
21,21,0,0,0,013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,22,0,0,0,013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,23,0,0,0,013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,24,0,0,0,013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25,25,0,0,1,013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,1,0,8000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000
26,26,0,0,1,088a063d075c00b0fb320151f5a002410401ffb2fa3ff63c049ffdec0aa2fdcffb910ab4fd4408ed0b86fa64ff17fb0dfd51f9da0b2a084304c60906fd7ffa97fcb1f775f790084ef70f03090a130174ff4af5510041f96c0845f968fa8efb7305d70b3d0a370a97f4ae0be7fc0f0045f66306bff465fe3e05a8017f0488f52c,1,0,0022001e0004005b00020154000b0007001000090017007e00a5002400310093001b000200ee00c5001f001f000e000e012800110027002500010005004000250009000300a4001c00e600300028001300630033002001430006000b0002001100710013002b00020154004a00050024004f0077001c00c00007000400050019
27,27,0,0,1,0697f4ca07eb02e3016b001b0231f6090027fcbd072efc890afb03760572061bff110048ff58f99ef8be05540bbaf445f459fbceff24084c048c0143fbc1fbab0911f8ce090af532f4bf0718fd5b0133f67307d403440ad4052dff12f6ee01e0fc4107d7f8b7f58f088cfa7104ddfab2fc1401870bcc0855001f0784fb9ef601,1,0,0022001e0004005b00020154000b0007001000090017007e00a5002400310093001b000200ee00c5001f001f000e000e012800110027002500010005004000250009000300a4001c00e600300028001300630033002001430006000b0002001100710013002b00020154004a00050024004f0077001c00c00007000400050019
28,28,0,0,1,05f2f9da008204f40266048ff7edfbed0470085ef792fa6c01f1fc460019071b026b04fa0b12fc1fff4bf7780011fe6ff8abfdf20823fa2904fd084cf7a8f8780167f8b9ffde05e3f6ed09f4fd82053706c004d9fbbb0bd9f4d7fe1708b0fbac0ad3fa660ba1f75b0939fbac0788f69805b70552fc9ff8c6f94afdb4fbd2f833,1,0,0022001e0004005b00020154000b0007001000090017007e00a5002400310093001b000200ee00c5001f001f000e000e012800110027002500010005004000250009000300a4001c00e600300028001300630033002001430006000b0002001100710013002b00020154004a00050024004f0077001c00c00007000400050019
29,29,0,0,1,0b8104930a1d09d9fcc70276ff58035406470bbcf42afe67017d05a5f617086807e408d0f913f6f9f5b8f446076c01480200fb07ff7e062dffe5fd6e07a6080b04bcfc42fa97f928fc5df70f036bf543f8faff5209fd069c016df5e2f7bdf56f06f7f78afd18fff0f99d0b3b0ae5f618f444fe10f4c3ffe8fee5fcec0128f75c,1,0,0022001e0004005b00020154000b0007001000090017007e00a5002400310093001b000200ee00c5001f001f000e000e012800110027002500010005004000250009000300a4001c00e600300028001300630033002001430006000b0002001100710013002b00020154004a00050024004f0077001c00c00007000400050019
30,30,0,0,1,f417013002e701c1f55a013bff14fd7b0a2209a00be6fcbcf71c076afc4b0a3902f5fef603b7ff92f580028b0541f8e5078f0162ffebfaa2f7c6019909a4f7a8f6a4f7e9098ffd08fedf0434008607e8ff33fa00094ef753fcd7015dfdd0feaff5620ad203300b71fe7b06a204d401ff007508fc03c4083ef4f10a6f045401c1,1,0,0022001e0004005b00020154000b0007001000090017007e00a5002400310093001b000200ee00c5001f001f000e000e012800110027002500010005004000250009000300a4001c00e600300028001300630033002001430006000b0002001100710013002b00020154004a00050024004f0077001c00c00007000400050019
