Sample in Buffer,Sample in Window,TRIGGER,clk_IBUF_BUFG,valid_in,in_x_flat[1023:0],en,valid_out,prob_flat[1023:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
31,31,0,0,1,fd0d0900fe29f77a07ac04f309f3f534002104a8030e01d10b43fe53ff13f43bf8bef83c0b4c09a3f61d0abe013d0ae1f91af4fbf783fd9105a70490085cf566fbd8fa3af48707fd09500a47095c074804a9ff1609fb054501e9061afeef041503c6fe7308f3f890fbf3010cfa24fe39f61e0acdfcd4f90000c70459060e0a53,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
32,32,0,0,1,08c1f62007c4fd0efc7ffafaffaaf75ef46ef51df5320601f99e02c4ff53070cf9f4015204a90375f76d09aff9c3f6c700a2f6630204f6340739fb53021afa8702120a73065cfffc0777f7ecf54a0942f4ec05330873fb7706ff09b801fafe6bf66fffb2f63afda4f4bd0602063eff930091fa7205fbf5400487f48e065ffa1b,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
33,33,0,0,1,fbea01b00a2afc1bf586f50cfd36f7d708dbfc370a07fe280af5f7b0fa54f6f00786f9c6f4a8fa2700630bc5fb1e067a0939febefd81fe8106dcfe1c0259fd4d04740b06fd83ff94faa3fc9b044bf468f8660af10a7cf95802c2f8a1f7490525f887014903f106b20a76047bfb20f8a9fdd9005aff580531f40f07bcfc9c02ec,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
34,34,0,0,1,05ccf58ff476fadafd2df4c006f409afff91fc1f0998fd16ff79fed8005704e2f522084afe66f71a0a7f078505b00333f9adfcf802b907ca02dcfbd908cbf4c4f94d04cc0ab8fdb4fee806510b14ff34081708280916fe1b071cf9540272f4da0b3af86f00b2042d093a04090b6404a6034c0b45f5c10b990bb4ffe402c407d6,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
35,35,0,0,1,0061ff14f7a1f5ad09ce0bf80a3bf6f2fe45079d0ba8fc02f8d0fcfd07c3fb19f74d06fb08f7fc4ffd68f89ef823f4e300cef41c0a67f5b2f57606a2fc8e0a1cf9b90247fc43ffc10a41f7ff080a0bcf07b2fc52f624fa45f93df80008ec00e10428067b0133ff29055bfcbdfebdf453fe9b0b69f59bfa8604000b20f9c20772,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
36,36,0,0,1,f4510a37f430f8d0038000040258fd0309ac0a92f53d051f08b80405f610f5effa4f06fa0a0ef8e7fa1cf887ffa905b5fe47093c094702eb09bf0b69f4880584fea1f6df0a6701960a5503fb0011f74c08d1092af4b707f2fb45ff8f0205fd61f64503e7fa3bfadef96f089dfce10af908b5f899f66c0bcafa4400bcfe48077c,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
37,37,0,0,1,f41cf7cef431ff55fdb10724fa1bff5cff7e001df618fcfcf905f4680ab10436fb78036c0810fcf5fa4903f1ffd1005004690923f8f8f6b008eef824fd9b0a2f0109f400f89501bbfddcf7f706acfb22f81005c9f48006d002220344feda08f106c2ff1bf636fffcf7ecfb1bf836009901edf92d05d4fba802d8041efaa600f6,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
38,38,0,0,1,fb6500ebf56403d309caf687f567fcf500b0f5f5f628fce9f836069304bdff93064f08f60b7a0ae5077702cbf79ef5b3006fff7b04e0f40900cc060bf916fa14f7c8f6a603c20a3ff9060b4d017bf604fcf40b2ffcae0a05f91b087d05380af6046df57d03410630f74f0b5e013b0445091608e60171f62e0b810a370aea076b,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
39,39,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
40,40,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,1,0,0020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
